"","Top.Module","Measure","Variables_Names"
"76","56_105_180","1672.91421962749","FirmReportedEarnings__BusExecLinkPropertyOverlapCount2__InputAddrType"
"77","56_107_180","1672.91203156251","FirmReportedEarnings__BusExecLinkUtilityOverlapCount2__InputAddrType"
"78","17_56_109","1651.24868557383","PctNegTradesWas__FirmReportedEarnings__BusExecLinkPropertyOverlapCount3"
"79","17_56_110","1651.24868557383","PctNegTradesWas__FirmReportedEarnings__BusExecLinkUtilityOverlapCount3"
"80","1_105_107","1636.35800436027","DisputedAccountsExcluded__BusExecLinkPropertyOverlapCount2__BusExecLinkUtilityOverlapCount2"
"81","84_110_168","1630.96573107017","AssetPropertyLotSizeTotal__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2PhoneOnFile"
"82","88_98_105","1623.68365986055","AssetWatercraftCount__InquiryConsumerAddress__BusExecLinkPropertyOverlapCount2"
"83","10_103_110","1621.5429229177","TotalInquiries__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount3"
"84","56_98_105","1619.53275657867","FirmReportedEarnings__InquiryConsumerAddress__BusExecLinkPropertyOverlapCount2"
"85","67_83_109_178","1602.99291544412","BankruptcyCount24Month__AssetPropertyStateCount__BusExecLinkPropertyOverlapCount3__BusFEINPersonPhoneOverlap"
"86","67_87_109_178","1602.99291544412","BankruptcyCount24Month__AssetAircraftCount__BusExecLinkPropertyOverlapCount3__BusFEINPersonPhoneOverlap"
"87","56_107_132","1564.91932330194","FirmReportedEarnings__BusExecLinkUtilityOverlapCount2__AssociateCityCount"
"88","67_105_132","1527.34486445383","BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__AssociateCityCount"
"89","41_46_105","1525.75877479622","FS13__FS27__BusExecLinkPropertyOverlapCount2"
"90","88_99_110","1514.27885449855","AssetWatercraftCount__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount3"
"91","88_99_109","1514.27885449855","AssetWatercraftCount__InquiryConsumerPhone__BusExecLinkPropertyOverlapCount3"
"92","14_100_110","1505.58796939642","SatisfactoryAccounts__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"93","11_100_109","1465.4929871768","InquiriesDuringLast6Months__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3"
"94","11_100_110","1465.4929871768","InquiriesDuringLast6Months__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"95","93_105_107","1452.29553226916","InquiryHighRisk03Month__BusExecLinkPropertyOverlapCount2__BusExecLinkUtilityOverlapCount2"
"96","56_110_153_159","1383.65330459306","FirmReportedEarnings__BusExecLinkUtilityOverlapCount3__LienType__BusExecLinkAuthRepPhoneOnFile"
"97","68_110_168","1371.22020252986","BankruptcyTimeNewest__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2PhoneOnFile"
"98","68_109_168","1371.22020252986","BankruptcyTimeNewest__BusExecLinkPropertyOverlapCount3__BusExecLinkAuthRep2PhoneOnFile"
"99","67_109_178","1365.42622604106","BankruptcyCount24Month__BusExecLinkPropertyOverlapCount3__BusFEINPersonPhoneOverlap"
"100","67_107_124_178","1355.48078119785","BankruptcyCount24Month__BusExecLinkUtilityOverlapCount2__AssociateBankrupt1YearCount__BusFEINPersonPhoneOverlap"
"101","55_109_159_179","1325.26501742454","FirmReportedSales__BusExecLinkPropertyOverlapCount3__BusExecLinkAuthRepPhoneOnFile__BusAddrPersonNameOverlap"
"102","100_109_128_158","1323.72818067438","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3__AssociateCountWithJudgment__BusExecLinkAuthRepSSNOnFile"
"103","9_84_110","1311.98435320459","RevolvingAvailablePercent__AssetPropertyLotSizeTotal__BusExecLinkUtilityOverlapCount3"
"104","9_84_109","1311.98435320459","RevolvingAvailablePercent__AssetPropertyLotSizeTotal__BusExecLinkPropertyOverlapCount3"
"105","56_110_159","1308.97013597478","FirmReportedEarnings__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRepPhoneOnFile"
"106","68_105_127_179_182","1308.91713735726","BankruptcyTimeNewest__BusExecLinkPropertyOverlapCount2__AssociateJudgmentCount__BusAddrPersonNameOverlap__InputPhoneProblems"
"107","67_105_114_178","1297.70714452562","BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__InputAddrLotSize__BusFEINPersonPhoneOverlap"
"108","55_110_159","1287.61956075826","FirmReportedSales__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRepPhoneOnFile"
"109","67_99_107","1279.49171737049","BankruptcyCount24Month__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount2"
"110","67_99_105","1279.49171737049","BankruptcyCount24Month__InquiryConsumerPhone__BusExecLinkPropertyOverlapCount2"
"111","87_99_107_124","1276.93256937841","AssetAircraftCount__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount2__AssociateBankrupt1YearCount"
"112","59_99_107_121","1259.33619459974","OrgLegalEntityCount__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount2__AssociateCountWithFelony"
"113","13_88_109","1248.93812093903","PaidAccounts__AssetWatercraftCount__BusExecLinkPropertyOverlapCount3"
"114","13_88_110","1248.93812093903","PaidAccounts__AssetWatercraftCount__BusExecLinkUtilityOverlapCount3"
"115","56_109_113_120","1239.10409550372","FirmReportedEarnings__BusExecLinkPropertyOverlapCount3__InputAddrSourceCount__AssociateFelonyCount"
"116","12_100_110","1238.05870942611","TotalTradeItems__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"117","56_109_113_124","1204.00911645055","FirmReportedEarnings__BusExecLinkPropertyOverlapCount3__InputAddrSourceCount__AssociateBankrupt1YearCount"
"118","100_110_113_120","1196.61592447403","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3__InputAddrSourceCount__AssociateFelonyCount"
"119","12_88_109","1193.41834776222","TotalTradeItems__AssetWatercraftCount__BusExecLinkPropertyOverlapCount3"
"120","1_59_110_169","1182.18681516772","DisputedAccountsExcluded__OrgLegalEntityCount__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2SSNOnFile"
"121","1_106_109_166","1167.31912405356","DisputedAccountsExcluded__BusExecLinkBusAddrAuthRep2Owned__BusExecLinkPropertyOverlapCount3__BusExecLinkAuthRep2NameOnFile"
"122","18_100_109","1165.98453836627","PctNegTradesTotal__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3"
"123","76_105_107","1137.23528264083","JudgmentCount12Month__BusExecLinkPropertyOverlapCount2__BusExecLinkUtilityOverlapCount2"
"124","83_99_107","1129.6341542377","AssetPropertyStateCount__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount2"
"125","58_99_105","1129.6341542377","OrgRelatedCount__InquiryConsumerPhone__BusExecLinkPropertyOverlapCount2"
"126","60_99_105","1129.6341542377","OrgAddrLegalEntityCount__InquiryConsumerPhone__BusExecLinkPropertyOverlapCount2"
"127","58_99_107","1129.6341542377","OrgRelatedCount__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount2"
"128","87_99_105","1129.6341542377","AssetAircraftCount__InquiryConsumerPhone__BusExecLinkPropertyOverlapCount2"
"129","41_106_107","1127.11231421237","FS13__BusExecLinkBusAddrAuthRep2Owned__BusExecLinkUtilityOverlapCount2"
"130","67_105_178","1112.36835976312","BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__BusFEINPersonPhoneOverlap"
"131","55_107_159","1094.6301556872","FirmReportedSales__BusExecLinkUtilityOverlapCount2__BusExecLinkAuthRepPhoneOnFile"
"132","25_103_110","1081.01640278504","SocialCount__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount3"
"133","67_105_159","1056.2123338539","BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__BusExecLinkAuthRepPhoneOnFile"
